university_name,country,year,ranking_source,rank,score
University of Basel,Switzerland,2026,QS,158,61.3
Hanyang University,Republic of Korea,2026,QS,159,61.2
University of Barcelona,Spain,2026,QS,160,61
Michigan State University,United States of America,2026,QS,161,60.9
Ghent University,Belgium,2026,QS,162,60.8
King Abdul Aziz University (KAU),Saudi Arabia,2026,QS,163,60.7
Nagoya University,Japan,2026,QS,164,60.3
Chalmers University of Technology,Sweden,2026,QS,165,60.2
Al-Farabi Kazakh National University,Kazakhstan,2026,QS,166,59.8
Washington University in St. Louis,United States of America,2026,QS,167,59.6
University of Montreal,Canada,2026,QS,168,59.5
University of York,United Kingdom,2026,QS,169,59.4
Hokkaido University,Japan,2026,QS,170,59.3
Kyushu University,Japan,2026,QS,170,59.3
Universitat Autónoma de Barcelona,Spain,2026,QS,172,59.2
Arizona State University,United States of America,2026,QS,173,59.1
McMaster University,Canada,2026,QS,173,59.1
Universidad de Chile,Chile,2026,QS,173,59.1
National Tsing Hua University,Taiwan,2026,QS,176,59
Khalifa University of Science and Technology,United Arab Emirates,2026,QS,177,58.8
Tongji University,China (Mainland),2026,QS,177,58.8
"University of California, Santa Barbara (UCSB)",United States of America,2026,QS,179,58.7
Indian Institute of Technology Madras (IITM),India,2026,QS,180,58.4
Cardiff University,United Kingdom,2026,QS,181,57.8
Emory University,United States of America,2026,QS,182,57.7
Curtin University,Australia,2026,QS,183,57.6
University of Bern,Switzerland,2026,QS,184,57.5
University of Wollongong,Australia,2026,QS,184,57.5
Wuhan University,China (Mainland),2026,QS,186,57.3
Tecnológico de Monterrey (ITESM),Mexico,2026,QS,187,57.1
University Complutense Madrid,Spain,2026,QS,187,57.1
UNIVERSITAS INDONESIA,Indonesia,2026,QS,189,57
Ohio State University,United States of America,2026,QS,190,56.9
"Queen's University, Ontario",Canada,2026,QS,191,56.8
Université Catholique de Louvain (UCL),Belgium,2026,QS,191,56.8
Universität Hamburg,Germany,2026,QS,193,56.5
University of Reading,United Kingdom,2026,QS,194,56.2
Vrije Universiteit Amsterdam,Netherlands,2026,QS,194,56.2
Waseda University,Japan,2026,QS,196,56.1
University of Otago,New Zealand,2026,QS,197,55.8
Vienna University of Technology,Austria,2026,QS,197,55.8
National Yang Ming Chiao Tung University,Taiwan,2026,QS,199,55.7
Queen's University Belfast,United Kingdom,2026,QS,199,55.7
Universität Freiburg,Germany,2026,QS,201,55.6
University of Gothenburg,Sweden,2026,QS,202,55.5
National Cheng Kung University (NCKU),Taiwan,2026,QS,203,55.2
University of Twente,Netherlands,2026,QS,203,55.2
Ecole Normale Supérieure de Lyon,France,2026,QS,205,55.1
Universidad Autónoma de Madrid,Spain,2026,QS,206,55
Deakin University,Australia,2026,QS,207,54.9
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,2026,QS,207,54.9
"University of Maryland, College Park",United States of America,2026,QS,207,54.9
University of Minnesota (System),United States of America,2026,QS,210,54.8
University of Calgary,Canada,2026,QS,211,54.7
Universidad de Los Andes Colombia,Colombia,2026,QS,212,54.6
University of Florida,United States of America,2026,QS,212,54.6
University of Lausanne,Switzerland,2026,QS,212,54.6
Eberhard Karls Universität Tübingen,Germany,2026,QS,215,54.5
Indian Institute of Technology Kharagpur (IITKGP),India,2026,QS,215,54.5
Keio University,Japan,2026,QS,215,54.5
Technische Universität Dresden,Germany,2026,QS,218,54.3
Indian Institute of Science (IISc) Bangalore,India,2026,QS,219,54.2
University of Ottawa,Canada,2026,QS,219,54.2
Chulalongkorn University,Thailand,2026,QS,221,53.9
Indian Institute of Technology Kanpur (IITK),India,2026,QS,222,53.7
Tel Aviv University,Israel,2026,QS,223,53.6
Universitas Gadjah Mada,Indonesia,2026,QS,224,53.5
Loughborough University,United Kingdom,2026,QS,225,53.3
Queensland University of Technology,Australia,2026,QS,226,53.2
The University of Newcastle,Australia,2026,QS,227,53.1
Université Libre de Bruxelles (ULB),Belgium,2026,QS,227,53.1
United Arab Emirates University,United Arab Emirates,2026,QS,229,53
Massey University,New Zealand,2026,QS,230,52.9
University of Lisbon,Portugal,2026,QS,230,52.9
Universität Erlangen-Nürnberg,Germany,2026,QS,232,52.2
La Trobe University,Australia,2026,QS,233,52.1
Universidade Estadual de Campinas (Unicamp),Brazil,2026,QS,233,52.1
University of Padova,Italy,2026,QS,233,52.1
University of Rochester,United States of America,2026,QS,236,51.9
American University of Beirut (AUB),Lebanon,2026,QS,237,51.6
University of Porto,Portugal,2026,QS,237,51.6
Maastricht University,Netherlands,2026,QS,239,51.4
Hebrew University of Jerusalem,Israel,2026,QS,240,51.3
